season,castaway_id,num_confessionals,num_episodes,confessionals_per_episode
43,US0629,15,7,2.142857142857143
43,US0630,26,6,4.333333333333333
43,US0631,12,5,2.4
43,US0632,22,9,2.4444444444444446
43,US0633,27,8,3.375
43,US0634,60,13,4.615384615384615
43,US0635,4,2,2
43,US0636,53,13,4.076923076923077
43,US0637,8,4,2
43,US0638,45,13,3.4615384615384617
43,US0639,3,1,3
43,US0640,7,3,2.3333333333333335
43,US0641,21,10,2.1
43,US0642,53,13,4.076923076923077
43,US0643,17,9,1.8888888888888888
43,US0644,35,11,3.1818181818181817
44,US0645,27,8,3.375
44,US0646,35,12,2.9166666666666665
44,US0647,20,9,2.2222222222222223
44,US0648,31,13,2.3846153846153846
44,US0649,6,1,6
44,US0650,21,5,4.2
44,US0651,7,3,2.3333333333333335
44,US0652,38,11,3.4545454545454546
44,US0653,34,10,3.4
44,US0654,33,13,2.5384615384615383
44,US0655,25,6,4.166666666666667
44,US0656,30,7,4.285714285714286
44,US0657,2,1,2
44,US0658,68,13,5.230769230769231
44,US0659,62,13,4.769230769230769
44,US0660,8,2,4
44,US0661,18,4,4.5
44,US0662,83,13,6.384615384615385
45,US0657,38,10,3.8
45,US0663,72,13,5.538461538461538
45,US0664,10,5,2
45,US0665,12,2,6
45,US0666,67,13,5.153846153846154
45,US0667,64,12,5.333333333333333
45,US0668,62,11,5.636363636363637
45,US0669,4,1,4
45,US0670,11,6,1.8333333333333333
45,US0671,60,13,4.615384615384615
45,US0672,46,13,3.5384615384615383
45,US0673,45,7,6.428571428571429
45,US0674,66,13,5.076923076923077
45,US0675,29,8,3.625
45,US0676,37,9,4.111111111111111
45,US0677,22,3,7.333333333333333
45,US0678,16,4,4
45,US0679,11,7,1.5714285714285714
46,US0680,45,13,3.4615384615384617
46,US0681,35,4,8.75
46,US0682,83,13,6.384615384615385
46,US0683,7,1,7
46,US0684,32,9,3.5555555555555554
46,US0685,20,5,4
46,US0686,9,2,4.5
46,US0687,74,13,5.6923076923076925
46,US0688,42,13,3.230769230769231
46,US0689,48,13,3.6923076923076925
46,US0690,21,6,3.5
46,US0691,70,12,5.833333333333333
46,US0692,13,3,4.333333333333333
46,US0693,15,7,2.142857142857143
46,US0694,26,8,3.25
46,US0695,47,10,4.7
46,US0696,17,7,2.4285714285714284
46,US0697,47,11,4.2727272727272725
